id,content,named_entities,channel
1352055,"[Inoltrato da ☯️ Manuela Pat 🇮🇹 🇺🇸 Sil 🇮🇹 VOICES OF ITALY 🇮🇹 - CHANNEL (Manuela Pat 🇮🇹 🇺🇸)] IMPORTANT FINDINGS about GUSTAVO ROL ————————————————————————————- “I discovered a tremendous law that binds the green color, the musical fifth and heat. I have lost the joy of living. Power scares me "" GUSTAVO ROL 🌍🌎🌏 BINGO !!! and he had seen it !! that's why he lost the will to live !! ""Green"" transition, 5G (electromagnetic vibrations with consequent heat like the microwave), in the Anglo-Saxon musical notation the note 🎼  G is the SOL in the Europe version of music scale/language and it is exactly the fifth of C (DO) ....😱😱😱😱 https://en.wikipedia.org/wiki/Gustavo_Rol","[{u'text': u'Inoltrato da u262f', u'type': u'ORG'}, {u'text': u'Manuela Pat U0001f1eeU0001f1f9 U0001f1fa', u'type': u'PERSON'}, {u'text': u'U0001f1f8', u'type': u'PERSON'}, {u'text': u'Sil U0001f1ee', u'type': u'ORG'}, {u'text': u'U0001f1f9 - CHANNEL', u'type': u'ORG'}, {u'text': u'Manuela Pat U0001f1eeU0001f1f9 U0001f1fa', u'type': u'PERSON'}, {u'text': u'U0001f1f8', u'type': u'PRODUCT'}, {u'text': u'GUSTAVO ROLn', u'type': u'ORG'}, {u'text': u'fifth', u'type': u'ORDINAL'}, {u'text': u'GUSTAVO ROL', u'type': u'ORG'}, {u'text': u'U0001f30e', u'type': u'WORK_OF_ART'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Anglo', u'type': u'NORP'}, {u'text': u'U0001f3bc  G', u'type': u'PERSON'}, {u'text': u'Europe', u'type': u'LOC'}, {u'text': u'fifth', u'type': u'ORDINAL'}, {u'text': u'U0001f631', u'type': u'PERSON'}, {u'text': u'U0001f631', u'type': u'ORG'}, {u'text': u'U0001f631', u'type': u'ORG'}, {u'text': u'U0001f631', u'type': u'ORG'}]",395
1359735,There are messing up the 5G connection here,"[{u'text': u'5', u'type': u'CARDINAL'}]",690
1366858,"Breaking news: Patrick King proves in Court that the Covid is fake, a fake virus invented by the vaccine companies to sell a fake cure. We know this. Now, lets make this video viral. Follow our channel for more info: https://t.me/covidvaccineexemption Protect yourself from 5G frequencies with Aulterra more info on this page:  https://dq271.isrefer.com/go/AultHome/AUL651/","[{u'text': u'Patrick King', u'type': u'PERSON'}, {u'text': u'Court', u'type': u'ORG'}, {u'text': u'Covid', u'type': u'PERSON'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Aulterra', u'type': u'GPE'}, {u'text': u'https://dq271.isrefer.com/go/AultHome/AUL651/', u'type': u'PERSON'}]",395
1369186,"starlink isn't enough, now we need military grade 5G blasting the earth as well... https://www.congress.gov/bill/117th-congress/house-bill/5123/text","[{u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'https://www.congress.gov/bill/117th-congress/house-bill/5123/text', u'type': u'PERSON'}]",690
1369234,The 5G Towers Have To Come Down - This is why people Believe there is a Pandemic and are getting the jab   Covid is a 5G COVER-UP!   https://rumble.com/vm8r4p-5g-big-data-revolution-artificial-intelligence.html,"[{u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Believe', u'type': u'PERSON'}, {u'text': u'Covid', u'type': u'PERSON'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'https://rumble.com/vm8r4p-5g-big-data-revolution-artificial-intelligence.html', u'type': u'PERSON'}]",690
1369437,💥💥💥💥  CALL TO ACTION  SHARE EVERYWHERE AND  SIGN HERE PLEASE - STOP THE 5G!  Action Alert: Time to Put Our Historic Win on 5G and Wireless Harm Into Action!   https://childrenshealthdefense.org/action/chds-historic-win-action-alert/,"[{u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Wireless Harm', u'type': u'PERSON'}, {u'text': u'https://childrenshealthdefense.org/action/chds-historic-win-action-alert/', u'type': u'PERSON'}]",690
1371188,"This is a MUST READ: Official French Army Report on C19 and 5G. If this doesn't wake you up, NOTHING will!","[{u'text': u'C19', u'type': u'ORG'}, {u'text': u'NOTHING', u'type': u'ORG'}]",395
1377121,All related to 5G - Frequencies,"[{u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'G - Frequencies', u'type': u'ORG'}]",690
1382789,💥💥💥💥  PLEASE SIGN HERE IF YOU HAVEN'T YET -   STOP THE 5G! THIS IS WHAT COVID IS  Action Alert: Time to Put Our Historic Win on 5G and Wireless Harm Into Action!   https://childrenshealthdefense.org/action/chds-historic-win-action-alert/,"[{u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5nnPLEASE SIGN HERE IF', u'type': u'WORK_OF_ART'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Wireless Harm', u'type': u'PERSON'}, {u'text': u'https://childrenshealthdefense.org/action/chds-historic-win-action-alert/', u'type': u'PERSON'}]",690
1384620,The shots have Graphine Oxide which can interact with 5G.  My 3G phone is being discontinued in Jan.  Have to go to 5G or no phone. How convenient for them.  They are put this poison in everything.  In UK they approved it to us in water supply.  Its sprayed in the air through Chemtrails.   Its causing all kinds of problem in the body.. Do the research.,"[{u'text': u'Graphine Oxide', u'type': u'ORG'}, {u'text': u'5G.', u'type': u'CARDINAL'}, {u'text': u'Jan.', u'type': u'DATE'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'UK', u'type': u'GPE'}]",395
1386105,Stop the 5G  We don't even have any words.  What this woman did was absolutely unspeakable.  https://www.lawenforcementtoday.com/miami-mom-accused-of-drowning-15-month-old-toddler-stabbing-husband/   @CallingASpadeASpade ♠️,"[{u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'@CallingASpadeASpade u2660ufe0f', u'type': u'PERSON'}]",690
1400525,Extremely high radiation being emitted from 5G tower. @HATSTRUTH 🎩,"[{u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'@HATSTRUTH', u'type': u'ORG'}]",119
1401653,They're Still not getting that's 5G - That's why they can't isolate it. Radiation to the skin cells  CCP TOWERS  NEW - 26 out of the 27 Lancet scientists who trashed theory that Covid leaked from a Chinese lab have links to Wuhan researchers.  https://www.dailymail.co.uk/news/article-9980015/26-Lancet-scientists-trashed-theory-Covid-leaked-Chinese-lab-links-Wuhan.html  @disclosetv,"[{u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'CCP', u'type': u'ORG'}, {u'text': u'26', u'type': u'CARDINAL'}, {u'text': u'27', u'type': u'CARDINAL'}, {u'text': u'Lancet', u'type': u'ORG'}, {u'text': u'Covid', u'type': u'PERSON'}, {u'text': u'Chinese', u'type': u'NORP'}, {u'text': u'Wuhan', u'type': u'GPE'}]",690
1408920,The Cause of COVID Deaths No One Wants to Talk About - 5G  https://childrenshealthdefense.org/defender/pandemic-cause-toxic-exposure/,"[{u'text': u'The Cause of COVID Deaths No One Wants', u'type': u'ORG'}]",690
1419079,Graphine Oxide + Nano Particles + 5G = Behavioral Control  Now what will happen when DS sets off a signal??  What army are they making?,"[{u'text': u'Graphine Oxide + Nano Particles', u'type': u'PERSON'}, {u'text': u'Behavioral Control', u'type': u'ORG'}]",690
1427378,"It won't be a chip. It will be the nanoparticles injected into the body, with these experimental gene therapy shots everyone has been getting... Not only does it alter the genetics, but it will also begin influencing the minds of the recipients, as well. This is essentially why 5G wireless networks were quietly rolled out, worldwide, during the lockdowns. Their system can't function without it. The science is called ""magneto-genetics""..and no one is ready for what's to come from it.","[{u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'magneto-genetics""', u'type': u'WORK_OF_ART'}]",395
1438548,"REPOSTING    I keep adding to this with my notes since last year  The  FLU HAS ALWAYS BEEN FROM FREQUENCIES  NOT 1 PERSON DIED FROM COVID EVER  COVID WAS NEVER ISOLATED  THE COMMON COLD, FLU ALONG WITH 5G WAS THE CAUSE OF HEALTH CONDITIONS    ASYMPTOMATIC WENT FOR TEST SWABS THAT INFECTED THEM WITH SYMPTOMS  FORCED DEATHS BY VENTILATORS  APPROXIMATELY 45-65k DIE EVERY YEAR FROM THE FLU  THOSE WITH PRE-EXISTING CONDITIONS AND THE ELDERLY CAN DIE FROM THE FLU  NORMAL COLD SYMPTOMS AND THE FU WAS REBRANDED AND REMARKETING AS COVID 19  LAB LEAK: THERE ISN'T A VIRUS THAT WAS LEAKED THERE WAS: THE LEAK OF INFORMATION THE TAINTED SWABS INFECTED YOU WITH A VIRUS (FLU) THE VACCINE CREATED YEARS AGO  THE VACCINATED ARE BECOMING THE VIRUS   It is from 5G - Radiation from the cells. There isn't a leak from Wuhan.  It's a cover-up   3 Pandemics in the last 120 Years  In 1918 - They implemented radio waves globally and increased the electrification of our universe causing the Spanish Flu - Most deaths during WW1   WW2 implantation of Radar by Rolling out Satellites - Van Allen belt  - Flu Pandemic  1968 Hong Kong Flu -  Rolled out another level of 100,000 satellites in the Transmitting Radar signals pushing telecommications again in the Van Allen Belt   5G - Takes about 6 months after exposure - If you were born with Frequencies , You are mostly likely not affected. The youngest were born into this. They are covering their tracks as the continue to roll out towers. - Ends Results - Flu again and we are in WW3  They are pushing AI Technology now - Driverless cars run off 5G, Everything runs off 5G  Who else sees the patterns here?   Frequencies - Flu - War  THE FLU HAS ALWAYS BEEN A FREQUENCY COVER-UP  COVID IS A 5G COVER-UP","[{u'text': u'last year', u'type': u'DATE'}, {u'text': u'1', u'type': u'CARDINAL'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'CONDITIONS', u'type': u'ORG'}, {u'text': u'45-65k', u'type': u'DATE'}, {u'text': u'VIRUS', u'type': u'ORG'}, {u'text': u'LEAKED', u'type': u'PERSON'}, {u'text': u'VIRUS', u'type': u'ORG'}, {u'text': u'FLU', u'type': u'ORG'}, {u'text': u'YEARS AGO', u'type': u'DATE'}, {u'text': u'VIRUS', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Wuhan', u'type': u'GPE'}, {u'text': u'3', u'type': u'CARDINAL'}, {u'text': u'the last 120 Years', u'type': u'DATE'}, {u'text': u'1918', u'type': u'DATE'}, {u'text': u'Spanish', u'type': u'NORP'}, {u'text': u'Radar', u'type': u'PRODUCT'}, {u'text': u'1968', u'type': u'DATE'}, {u'text': u'Hong Kong', u'type': u'GPE'}, {u'text': u'100,000', u'type': u'CARDINAL'}, {u'text': u'Transmitting Radar', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'G - Takes', u'type': u'ORG'}, {u'text': u'about 6 months', u'type': u'DATE'}, {u'text': u'AI Technology', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'FLU', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}]",690
1438607,💥💥💥💥  PLEASE SIGN HERE IF YOU HAVEN'T YET -   STOP THE 5G! THIS IS WHAT COVID IS  Action Alert: Time to Put This Historic Win on 5G and Wireless Harm Into Action!   https://childrenshealthdefense.org/action/chds-historic-win-action-alert/,"[{u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5nnPLEASE SIGN HERE IF', u'type': u'WORK_OF_ART'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Wireless Harm', u'type': u'PERSON'}, {u'text': u'https://childrenshealthdefense.org/action/chds-historic-win-action-alert/', u'type': u'PERSON'}]",690
1438634,Remember Trump Stated He Wanted To Take Out The CCP 5G Towers,[],690
1438715,Fauci's NIH Study Reveals 5G Technology Can Produce Coronavirus In Human Cells » Sons of Liberty Media https://sonsoflibertymedia.com/faucis-nih-study-reveals-5g-tecnology-can-produce-coronavirus-in-human-cells/,"[{u'text': u'Fauci', u'type': u'ORG'}, {u'text': u'NIH Study Reveals', u'type': u'ORG'}, {u'text': u'Liberty Media', u'type': u'ORG'}, {u'text': u'https://sonsoflibertymedia.com/faucis-nih-study-reveals-5g-tecnology-can-produce-coronavirus-in-human-cells/', u'type': u'ORG'}]",690
1447713,"IMPORTANT FINDINGS about GUSTAVO ROL ——————————————————————— “I discovered a tremendous law that binds the green color, the musical scale 5th and heat. I have lost the joy of living. Power scares me "" GUSTAVO ROL 🌍🌎🌏 BINGO !!! and he had seen it !! that's why he lost the will to live !! ""Green"" transition, 5G (electromagnetic vibrations with consequent heat like the microwave), in the Anglo-Saxon musical notation the note 🎼  G is the SOL in the Europe version of music scale/language and it is exactly the fifth of C (DO) ....😱😱😱😱 https://en.wikipedia.org/wiki/Gustavo_Rol","[{u'text': u'GUSTAVO ROLn', u'type': u'ORG'}, {u'text': u'5th', u'type': u'ORDINAL'}, {u'text': u'GUSTAVO ROL', u'type': u'ORG'}, {u'text': u'U0001f30e', u'type': u'WORK_OF_ART'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Anglo', u'type': u'NORP'}, {u'text': u'U0001f3bc  G', u'type': u'PERSON'}, {u'text': u'Europe', u'type': u'LOC'}, {u'text': u'fifth', u'type': u'ORDINAL'}, {u'text': u'U0001f631', u'type': u'PERSON'}, {u'text': u'U0001f631', u'type': u'ORG'}, {u'text': u'U0001f631', u'type': u'ORG'}, {u'text': u'U0001f631', u'type': u'ORG'}]",395
1454188,STOP THE 5G  THIS IS A COVER-UP,"[{u'text': u'5', u'type': u'CARDINAL'}]",690
1461278,"STARTING WITH JUST A REMINDER  *THEN LATER I WILL FINISH 5G WITH HOW WE CAN PROTECT OURSELVES*  BLACK VS WHITE BAPTIST VS CATHOLIC GAY VS STRAIGHT MASKED VS UNMASKED VAXX’ed VS UNVAXX’ed  YOU SEE WHERE I AM GOING!  IN THE LAST TWO DAYS I HAVE SEEN NOTHING BUT A FLOOD/PUSH OF  THE NEXT TOOL OF DIVISION!  EVEN WITH SOME I HAVE TRUSTED!  MAYBE IT IS BY ACCIDENT; MAYBE THEY THINK THE UNVAXX’ed HAVE PERSECUTION COMING?  I DO NOT KNOW THE MOTIVE, BUT I KNOW THE OUTCOME; DIVISION!  SOME OTHER TOOL TO DIVIDE AND CONQUER!   👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼 “THE UNVAXX’ed ARE BEING BLAMED FOR THE DEATHS OF THE VAXX’ed”!   DO NOT FALL FOR IT!  STAY FOCUSED ON “TOGETHER WE ARE STRONG”!  “DIVIDED WE WILL FALL!” THINK OF THE TIMING!  BIG CELEB COMES OUT AGAINST CENSORSHIP; WAKING MORE UP; JOINING MORE FORCES; BAM!  HERE COMES THE DIVISION PUSH!   CIVIL WAR ON ANY FRONT REVEALS THE GUNS; and STUPIDITY OF THOSE RUFFLED WILL DIE IN THE STREETS!   DO NOT LET THEM DIVIDE US!  DO NOT FALL FOR THEIR SAME PLAYS!    AS A NURSE, RT, and/or a PATRIOT I WILL CARE FOR SOMEONE NO MATTER WHAT!  VAXX, NO VAXX, BLACK, WHITE, BAPTIST, ATHEIST, GAY OR STRAIGHT!  DEM OR REP!   I DO NOT CHOOSE IN AN EMERGENCY WHO I WILL, and WILL NOT CARE FOR!  LIFE AND LIMB COME FIRST!  WHO, WHAT, PAST OR PRESENT MATTER NOT TO ME, and I HAVE NEVER ASKED!  I WOULD NOT ASK EVER!  IT DOES NOT MATTER!!  NOT BEFORE I CARE FOR THEM OR AFTER!  ALL THAT MATTERS IN THAT MOMENT; IN THAT EMERGENCY; IS THE LIFE GOD HAS PLACED BEFORE ME!  IT IS A PRECIOUS LIFE CHERISHED BY THAT PERSON, and THOSE WHO LOVE THAT PERSON!  NOTHING SUPERFICIALLY HAS OR EVER WILL STOP ME FROM GIVING ALL OF MYSELF IN THAT EMERGENCY NO MATTER WHAT!  WHAT WOULD YOU DO? WHAT WOULD YOU WANT FOR YOU OR YOUR LOVED ONE?  ARE WE NOT IN AN EMERGENCY?  I NEVER HAVE WORKED AN EMERGENCY AS AN ER NURSE OR RT ALONE; IT ALWAYS HAS REQUIRED A “TEAM”!  ~CRISSY~","[{u'text': u'ACCIDENT', u'type': u'ORG'}, {u'text': u'THE UNVAXXu2019ed ARE BEING BLAMED FOR THE DEATHS OF THE', u'type': u'WORK_OF_ART'}, {u'text': u'STREETS', u'type': u'ORG'}, {u'text': u'US', u'type': u'GPE'}, {u'text': u'AS A', u'type': u'WORK_OF_ART'}, {u'text': u'NURSE', u'type': u'ORG'}, {u'text': u'RT', u'type': u'ORG'}, {u'text': u'VAXX', u'type': u'ORG'}, {u'text': u'NO VAXX', u'type': u'ORG'}, {u'text': u'BLACK', u'type': u'ORG'}, {u'text': u'WHITE', u'type': u'ORG'}, {u'text': u'BAPTIST', u'type': u'ORG'}, {u'text': u'ATHEIST', u'type': u'ORG'}, {u'text': u'GAY OR', u'type': u'ORG'}, {u'text': u'NEVER', u'type': u'ORG'}]",395
1462137,"👆👆👆👆👆👆 From the governor/president of the ABRUZZO region in Italy 🇮🇹 💥💥💥💥💥💥💥💥💥💥💥 GREEN PASS: MY THOUGHT  I find an irrevocable contradiction between the 'moral suasion' invoked to preserve the optional nature of the vaccine and the restrictions with related sanctions imposed on those who do not (including the suspension of salary and contributions).  'Persuasion' is another thing, and it is done (as also invoked by President Zaia) with powerful, clear and effective information campaigns capable of resolving doubts and perplexities.  Of course, no one will ever convince the paranoid who think that graphite or other substances that can be activated with the 5G antennas are injected with the vaccine to control consciences ... but that is a marginal world and not very significant numerically.  But the many who are in the gray area of ​​confusion or uncertainty, those can be 'recovered' and convinced.  Instead, we are choosing to do everything we can not to impose the obligation for fear of the 'conflict' it would generate, but I fear that the conflict that is being created with this choice could be even worse.  It would be more honest, linear and less conflictual to impose the obligation, resulting in the assumption of compensation liability in the event of serious side effects (rare but unfortunately existing).  Obligation that today applies to a series of vaccines related to diseases that are currently much less dangerous and present than Covid.  Not making the choice of obligation but 'forcing' those who do not want to get the vaccine making their life impossible feeds the legitimate suspicion that the State does not want to impose the obligation in order not to pay any compensation.  And this argument cannot fail to feed suspicion and uncertainty in a non-marginal part of the population.","[{u'text': u'Italy', u'type': u'GPE'}, {u'text': u'U0001f1ee', u'type': u'ORG'}, {u'text': u'U0001f1f9', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'U0001f4a5', u'type': u'ORG'}, {u'text': u'Zaia', u'type': u'PERSON'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'today', u'type': u'DATE'}, {u'text': u'Covid', u'type': u'PERSON'}, {u'text': u'State', u'type': u'ORG'}]",395
1465952,Rename your WiFi to Covid 19 5G test tower. Make the life of your neighbor brighter and exciting,"[{u'text': u'WiFi', u'type': u'PERSON'}]",690
1498395,"WARNING: PHONES AND LAPTOPS HAVE BEEN UPDATED TO EMIT RADIATION THAT SIMULATES COVID SYMPTOMS... FATIGUE ETC, ADD THICK FOIL TO YOUR PHONES AND LAPTOPS. VARY THE PATTERNS.  Covid is 5G!  They are hitting Patriots more than ever","[{u'text': u'PHONES', u'type': u'ORG'}, {u'text': u'ETC', u'type': u'ORG'}, {u'text': u'Covid', u'type': u'PERSON'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Patriots', u'type': u'ORG'}]",690
